method,entity_type,precision,recall,f1,accuracy,tp,fp,fn,total_true,total_pred
Hybrid Advanced,AGE,0.5217391304347826,0.3870967741935484,0.4444444444444444,0.2857142857142857,12,11,19,31,23
Hybrid Advanced,VIN_NUMBER,0.0,0.0,0.0,0.0,0,0,25,25,0
Hybrid Advanced,ADDRESS,0.0,0.0,0.0,0.0,0,0,67,67,0
Hybrid Advanced,ALL,0.45778611632270166,0.31322207958921694,0.37195121951219506,0.22846441947565543,244,289,535,779,533
DeepPavlov,EDUCATION,0.0,0.0,0.0,0.0,0,0,27,27,0
DeepPavlov,PASSPORT,0.0,0.0,0.0,0.0,0,0,34,34,0
DeepPavlov,VIN_NUMBER,0.0,0.0,0.0,0.0,0,0,25,25,0
DeepPavlov,EMAIL,0.0,0.0,0.0,0.0,0,0,69,69,0
DeepPavlov,FAMILY,0.0,0.0,0.0,0.0,0,0,4,4,0
DeepPavlov,PERCENT,0.0,0.0,0.0,0.0,0,8,0,0,8
DeepPavlov,PHONE,0.0,0.0,0.0,0.0,0,0,123,123,0
DeepPavlov,DRIVER_LICENSE,0.0,0.0,0.0,0.0,0,0,4,4,0
DeepPavlov,NUMBER,0.0,0.0,0.0,0.0,0,465,0,0,465
DeepPavlov,ORGANIZATION,0.25510204081632654,0.7142857142857143,0.37593984962406013,0.23148148148148148,25,73,10,35,98
DeepPavlov,MEDICAL,0.0,0.0,0.0,0.0,0,0,6,6,0
DeepPavlov,MONEY,0.0,0.0,0.0,0.0,0,76,0,0,76
DeepPavlov,SNILS,0.0,0.0,0.0,0.0,0,0,36,36,0
DeepPavlov,TIME,0.0,0.0,0.0,0.0,0,27,0,0,27
DeepPavlov,POSITION,0.0,0.0,0.0,0.0,0,0,13,13,0
DeepPavlov,BANK_ACCOUNT,0.0,0.0,0.0,0.0,0,0,6,6,0
DeepPavlov,CAR_NUMBER,0.0,0.0,0.0,0.0,0,0,25,25,0
DeepPavlov,PERSON,0.3968253968253968,0.4098360655737705,0.40322580645161293,0.25252525252525254,75,114,108,183,189
DeepPavlov,AGE,0.0,0.0,0.0,0.0,0,0,31,31,0
DeepPavlov,LOCATION,0.14893617021276595,0.5,0.22950819672131148,0.12962962962962962,7,40,7,14,47
DeepPavlov,ADDRESS,0.0,0.0,0.0,0.0,0,0,67,67,0
DeepPavlov,BIRTHDAY,0.0,0.0,0.0,0.0,0,0,14,14,0
DeepPavlov,DATE,0.0,0.0,0.0,0.0,0,141,0,0,141
DeepPavlov,INN,0.0,0.0,0.0,0.0,0,0,27,27,0
DeepPavlov,BANK_CARD,0.0,0.0,0.0,0.0,0,0,32,32,0
DeepPavlov,IP_ADDRESS,0.0,0.0,0.0,0.0,0,0,4,4,0
DeepPavlov,ALL,0.10180780209324453,0.13735558408215662,0.11693989071038251,0.062100986651189787,107,944,672,779,1051
